"","Date","FTSE","SP","DAX","CAC","ASX","IBEX","MIB","TOPIX","ThreeAus","TenAus","EuroBund","TenCan","TenJap","LongGilt","TenUS","TwoUS","ThirtyUS","AUD","CAD","JPY","CHF","GBP","Cotton","Coffee","Cocoa","Corn","LiveCattle","Soybeans","Gold","Silver","Platinum","BrentCrude","GasOil","Gasoline","HeatingOil","LightCrude"
"1",1991-02-28,0.0125658684378363,0.0110441776257838,0.0190928450733121,0.023162186574542,0.011753107767906,0.0194169894498119,0.0223588918329613,0.017135665546308,0.000926978413898884,0.000994172494819734,0.00429881412012747,0.0038509936339135,0.00338301222843303,0.00591804809126721,0.00396269908339321,0.000846853243982336,0.00661219501311527,0.00413415834540614,0.00201463097065443,0.00848051294408301,0.00847900163102872,0.00698951916098845,0.010032495775406,0.0138672387696294,0.0151556792242616,0.00681971513280001,0.00517379728701363,0.00858333841736846,0.0143150091018672,0.0190259751625828,0.0127924399776441,0.067196189125265,0.0721113712423464,0.0543977275271291,0.066522834975757,0.0698572490885548
"2",1991-03-29,0.0136431224689174,0.0113084999828625,0.0188168042571557,0.0228558581903872,0.0116444122266569,0.022169812562495,0.0221999497509871,0.0162374359028061,0.000807571681769522,0.000945828404047273,0.00355372638024583,0.00394907817318554,0.00323156582091379,0.00570063944338618,0.00375772441457474,0.000876197613955842,0.00629172096440678,0.00391383102944876,0.00205554152547552,0.00861013112710422,0.00771196857891215,0.00738578427690743,0.011610256338293,0.0153485178834695,0.0157471584817984,0.00775057442085026,0.0055371831153724,0.00967257984657061,0.0132949417277513,0.0200448379041957,0.0129786082592848,0.0650009006996341,0.0677976049343822,0.0555170597410115,0.0642924400682,0.0681700134653087
"3",1991-04-30,0.0132670104102707,0.0101578365500751,0.018802402885361,0.0148686649131382,0.0147479735711804,0.0217114241793286,0.0221334766432926,0.0125974349333249,0.000635443414968909,0.000733831698022542,0.0030989652582366,0.00366419463802549,0.00279887638502678,0.0045633057486415,0.00322907772972515,0.000889629954699472,0.00508800843050877,0.00358843060744344,0.0017239518172306,0.00862398119079515,0.00913303522850526,0.00884993645305708,0.0123511000986467,0.0151643799432172,0.0156870267507919,0.00794068320765424,0.00473947241418613,0.00928298182679189,0.00641020329273168,0.0184008446952076,0.0110830311077868,0.027738544810242,0.0394244834219482,0.0234698921136153,0.0242615015268129,0.0240137959462742
"4",1991-05-31,0.0136890268555043,0.00924428405861979,0.0176003885882547,0.0151034752550149,0.0125528173416496,0.0147747611998188,0.0108181297332867,0.0101986646096303,0.000635290098606469,0.0008465731122483,0.00272393789463764,0.00338934031064449,0.00221489325572832,0.00456529156217715,0.00335639158004363,0.000820864458628961,0.00527054529226263,0.00432400320853822,0.00154173764712326,0.0084106314904423,0.00986558730515384,0.00995276809103788,0.0126411547498808,0.0119747755062581,0.0152878017848792,0.00839751459411642,0.00465163003714837,0.00912885237668135,0.00483052027555878,0.0139333668675426,0.0110325317549143,0.0212537674806963,0.0156102065384452,0.0184786172291564,0.0135731271204677,0.0171886583954305
"5",1991-06-28,0.0122258256007726,0.00874647003601409,0.0145539312681079,0.012775290333487,0.012175817709526,0.011388951769961,0.0117505195865931,0.00947942217885784,0.000922789722868443,0.0011640062553292,0.00229711488622724,0.00273437374800762,0.00196808061971178,0.00352874137770356,0.00309774005874203,0.000811498947564284,0.00497003571814215,0.00451989922825189,0.00122940026979814,0.00731973555089118,0.00918862543468943,0.00904766482648538,0.0174377295813425,0.0105207696191851,0.0151013172040085,0.0106820650350477,0.0047458547610002,0.0102306634502527,0.00526068071977185,0.0128126960448285,0.0100432262071142,0.0119897010386623,0.013034507737348,0.0149121865164903,0.0122630545875568,0.0136870788071356
"6",1991-07-31,0.0110271048519114,0.00833801894860754,0.0118360547625068,0.011549401618713,0.00890834412182417,0.0112133213871422,0.0112407377317451,0.0117522230675194,0.000967313392529716,0.00116429034846588,0.00187356472209685,0.00231047474136521,0.0018280944766299,0.00346117971194042,0.00274411001913435,0.000741919994707139,0.00444886310527568,0.00479253752011447,0.00193095664202184,0.00554954769219306,0.00924893006208863,0.00867613293404873,0.0175867452395211,0.0104886726228045,0.0204717751409131,0.0161824392377928,0.00557132102546525,0.0147166347890844,0.00522308925553363,0.0152995489206388,0.0105038328343635,0.0117743125340046,0.0115920447010684,0.0137750743915812,0.0117958375054261,0.0120406585884121
"7",1991-08-30,0.0145956905437445,0.00853851110535928,0.0268109552218758,0.0151808756149545,0.00848462822786091,0.011269130678406,0.011598007260364,0.0161150320859697,0.000844321102893502,0.000849694655583719,0.00263104605919993,0.002254628545839,0.00260119824998097,0.0033236553479218,0.00291547757111289,0.0010058675839568,0.0043313679215335,0.00308880148700885,0.00196440306928145,0.00518654725612962,0.00904677665433192,0.00937991673581161,0.0176261644114643,0.0118632383448874,0.0228225547960013,0.0196944521869669,0.0082343229191643,0.0225298527606994,0.00565561842258337,0.0134578406236627,0.0110324684565809,0.014546324736966,0.0218620394566746,0.0152584148902121,0.0171706370529455,0.0137292910235604
"8",1991-09-30,0.0138361531573773,0.00685073927421304,0.0272229747825387,0.0130629177949702,0.00894346721045313,0.0102426338834317,0.0107781658046168,0.0143096541356397,0.000817920013566937,0.000648783184804377,0.00268392854806973,0.00260276008996721,0.00228859838018093,0.00306640552905823,0.00290729290442962,0.000907375032792789,0.00427922685890859,0.00386497171016551,0.00195869065922109,0.00506955979226427,0.00868827239302657,0.00894466249363435,0.01357260553957,0.0156009616100119,0.0230329782806645,0.0176627112685346,0.00887684091444658,0.0216960346082417,0.00565107849897578,0.0145592640744314,0.011688507433242,0.0139660537810893,0.0219431253189483,0.0145161042161433,0.0172030370447215,0.0131782051573816
"9",1991-10-31,0.0138869345467119,0.0075241440006233,0.0273122363931662,0.0127956877257926,0.0109436104020446,0.00977985498094701,0.0104416568166031,0.0139678933191808,0.000849501690272574,0.000709924227201106,0.00272532289494906,0.00357707248414668,0.00259993637960982,0.00348010940710246,0.00341045861712434,0.000850763729333273,0.00520387414254979,0.00412679664642943,0.00111344870361264,0.0049676110436483,0.00738155183789664,0.0081526609591615,0.0129984479865078,0.0162467379430725,0.0214178985587965,0.0129730806102675,0.00790827203104822,0.0148399929305804,0.0048924012548319,0.0109097095735303,0.0112466213064029,0.0134054791092349,0.0215295695289471,0.0124780957511542,0.016534503364642,0.0128303663870299
"10",1991-11-29,0.00854989695755541,0.00813241162582897,0.00906047879198561,0.00982056229945904,0.0132372656794098,0.0133726555560942,0.00927685543420606,0.00909957830441302,0.000909954218108047,0.0006633167957932,0.00182768698444039,0.0043776964444506,0.00187888661114215,0.00407750131053326,0.00323265144376771,0.000648937429273212,0.0051643314982985,0.00417140123804374,0.00189947650599027,0.0060430454335834,0.00715120056099889,0.00657692670451201,0.0139877570154564,0.0158011299740296,0.0160453597531131,0.00853501497930993,0.00691339149898129,0.0116742453939436,0.00512933057069405,0.0100190970965577,0.00923796682478571,0.011724918695514,0.013936452868822,0.012269221565687,0.0124405697033167,0.0113194841355267
