Date,FTSE,SP,DAX,CAC,ASX,IBEX,MIB,TOPIX,ThreeAus,TenAus,EuroBund,TenCan,TenJap,LongGilt,TenUS,TwoUS,ThirtyUS,AUD,CAD,JPY,CHF,GBP,Cotton,Coffee,Cocoa,Corn,LiveCattle,Soybeans,Gold,Silver,Platinum,BrentCrude,GasOil,Gasoline,HeatingOil,LightCrude
11/12/1990,-0.009879579,-0.003342007,-0.014440217,-0.005368943,0.002738769,-0.003120656,-0.002921201,0.006293985,0.000113645,0.000340528,0.004308811,0.007438861,0.003156772,0.006951714,0.002819992,0,0.00353755,0.001698318,-0.00347943,-0.002252801,-0.004945786,-0.003975769,-0.004073829,0.022666818,-0.003228413,0.003146306,0.001624696,-0.00125971,-0.006137412,0.00366442,0.007403252,-0.025937215,-0.041654227,-0.013975844,-0.041480937,-0.018383195
12/12/1990,-0.000283021,0.009089593,0.020190884,0.002178527,0.001330337,0.002862384,0.000238602,0.005039099,0.001477077,0.00017022,0.001789797,0.002038518,-0.002946117,0.001038601,0.001563233,0.000617856,0.00224467,-0.000130561,0.000117397,0.007007328,0.005578127,0.006478618,-0.006340783,0.003196626,-0.003238869,0.002092051,-0.004229672,0.00293686,0.00240608,-0.011079953,-0.010524246,-0.041948355,-0.096849826,-0.035043196,-0.040055247,-0.040963894
13/12/1990,0.0101626,-0.004800782,-0.00274696,-0.01114403,-0.007933715,0.000272987,-0.001383071,0.019077884,0.001248092,-0.001021757,0.005943201,-0.005912406,0.003681373,0.002419217,-0.005010972,-0.001543925,-0.007394343,-0.009811768,0.001055816,-0.004357123,-0.004561591,-0.001354919,0.003439539,0.015831465,-0.015529532,-0.016860252,-0.003265842,-0.014771317,0.004263279,-0.003969372,-0.003371637,0.055548825,-0.013045845,0.016608101,-0.000804263,0.041342259
14/12/1990,-0.007841464,-0.008608671,0.006366198,-0.024808732,0.005420431,-0.0023165,-0.0045035,-0.013971814,0.000113323,0.001022394,-0.004275548,-0.002267393,-0.002628122,-0.006927634,-0.004720701,-0.001082168,-0.005825259,0.009547881,0.001757103,-0.006505495,-0.007905199,-0.00648743,0.011685282,-0.012114911,0.004930166,0.005299429,0.004243479,0.00042508,0.006625173,-0.017537505,-0.006199003,0.011254342,0.022966561,0.009260028,0.008944695,0.004908633
17/12/1990,-0.006778856,-0.001517912,-0.036489588,-0.015701653,-0.000931671,-0.006193555,-0.001281028,-0.014746217,0.001472893,-0.001476993,-0.003457449,-0.002271192,0.003677504,-0.001739433,0.001890955,0.000927644,0.002593194,0.002504394,0.00128663,0.000399838,0.001662771,-0.001365594,-0.008257533,-0.013337087,-0.042702176,0.011560822,0.00162734,-0.00085034,0.001847162,0.004794915,-0.00407477,0.014914128,0.00098668,0.002263981,-0.006801323,0.018657255
18/12/1990,0.004799056,0.011929761,-0.000828691,-0.007443934,0.004935425,-0.000489841,0.001604862,0.008755504,0.000453047,0.000341011,-0.000119464,0.002271192,0.003663871,-0.004187026,0.002201605,0.000926784,0.002586487,0.003548241,0.001868536,-0.001599319,0.001787531,0.002100152,-0.007397624,-0.007006325,-0.011182912,-0.005238357,0,-0.007685777,-0.002375595,0.000990879,-0.005297271,0.015845884,-0.010907396,0.005862475,0.012500097,0.029504872
19/12/1990,0.004823011,-0.003609614,-0.009967019,-0.000892166,0.003560877,0.00391572,0.00304108,0.009887374,-0.002153369,-0.000397916,0.001909261,-0.00140511,0.001670534,0.003838776,-0.001257466,0.000308737,-0.003882244,0.00262017,-0.002453118,-0.006286994,0.002929706,-0.0012596,0.004234027,-0.009236587,0.002591794,-0.011621895,-0.004563321,-0.012105077,0.025053519,0.033147267,0.018419257,0.016353006,0.016807118,0.010436952,0.02827369,0.000371198
20/12/1990,-0.033121331,0.002858807,-0.052784641,-0.040404191,-0.002683264,-0.008667734,-0.013545447,-0.01654412,-0.000680939,-0.000625468,-0.012114025,-0.003795338,-0.003657904,-0.009448889,-0.003781914,-0.001080998,-0.003897374,0.001176895,0.000350804,-0.006191955,-0.024463682,-0.018658445,0.012073613,-0.009322865,0.006021524,-0.003193191,0.000979751,-0.009517469,-0.003356109,0.024767078,0.00472926,-0.016353006,0.01169604,-0.011036652,0.013272269,-0.020255507
21/12/1990,0.000455195,0.005691753,-0.011626246,-0.007563313,0.007344721,-0.020916728,-0.01745572,-0.022271972,0.000113464,0.000227393,-0.00799621,-0.000651282,-0.004301863,0.000351556,-0.003162558,-0.000309071,-0.005874691,0.001436505,0,-0.002027675,-0.008245544,-0.003752333,-0.005100376,-0.01834907,0.008539762,-0.002134473,-0.000326544,-0.014448073,-0.006225764,-0.042425394,-0.027988798,-0.011569857,0,-0.006620548,0.000760335,-0.017970327
24/12/1990,-0.010804232,-0.010661709,NA,NA,0.001796671,-0.002288379,-0.003076511,-0.00331309,-0.000226942,-0.000511968,NA,-0.005341004,NA,-0.007408748,-0.006993035,-0.000927787,-0.008216973,0.001304104,-0.000233902,-0.005698649,-0.001973309,-0.011016446,0,0,0,-0.003210276,0.002608374,0.000692697,0,0,0,0.037683067,0.032414659,0,0,0
