Date,FTSE,SP,DAX,CAC,ASX,IBEX,MIB,TOPIX,ThreeAus,TenAus,EuroBund,TenCan,TenJap,LongGilt,TenUS,TwoUS,ThirtyUS,AUD,CAD,JPY,CHF,GBP,Cotton,Coffee,Cocoa,Corn,LiveCattle,Soybeans,Gold,Silver,Platinum,BrentCrude,GasOil,Gasoline,HeatingOil,LightCrude
28/02/1992,-0.010810162,0.009135824,0.0344224,0.050937219,0.004038051,0.040358202,0.001584932,-0.056754658,-0.000329566,0.001111179,0.002141959,-0.002663643,-0.002240773,0.005100425,0.006018676,0.000523306,0.003704851,0.004533299,-0.0053163,-0.027868385,-0.03294826,-0.010787622,0.031354066,-0.060873456,-0.084993213,0.00189036,0.003235202,0.020142099,-0.013464582,-0.019324547,0.006134853,-0.035775567,-0.05213843,-0.007002453,-0.043489213,-0.022438116
31/03/1992,-0.049946102,-0.023293369,-0.026063798,-0.02891401,-0.012769809,-0.016870197,-0.047576817,-0.085295765,0.001325851,0.002941934,-0.01612038,-0.025900988,0.005068772,-0.043873811,-0.013220112,-0.003251283,-0.016015415,0.026676228,-0.002187023,-0.022822497,-0.007371958,-0.006475854,0.03918043,-0.034436602,-0.123849788,-0.01211825,0.023305088,-0.001698514,-0.029809817,0.001917732,0.005361941,0.031944198,-0.00962888,0.057078331,0.040837488,0.029876252
30/04/1992,0.078891519,0.025886321,0.005438685,0.042804682,0.051927956,0.002185327,0.014876759,-0.062500914,0.009646079,0.006309082,-0.002062009,-0.000101786,-0.020828048,0.045779784,0.000307267,0.006105623,-0.006032722,-0.014863841,-0.000119616,-0.004258756,-0.00424885,0.027963991,0.029765588,-0.124508438,-0.106023479,-0.082677827,-0.014818562,-0.027620196,-0.017909739,-0.038963094,-0.037015384,0.08046689,0.100899021,0.072209838,0.088127727,0.060682278
29/05/1992,0.015940299,0.000241286,0.037539422,-0.018728985,0.015413912,0.032379129,-0.007178923,0.033023532,0.00424536,0.003744626,0.00754035,0.028399882,0.015694304,0.012609582,0.020374736,0.007635911,0.02702018,0.00158901,-0.006363002,0.043581378,0.041259866,0.034245162,-0.072432865,0.00633907,-0.076832432,0.039297787,-0.01620429,0.056535883,-0.003829691,0.001741963,0.054339635,0.074720091,0.048641366,0.042618986,0.061348045,0.047310154
30/06/1992,-0.084961387,-0.015306361,-0.032610096,-0.068607035,-0.019544398,-0.034040879,-0.080393159,-0.110264215,0.010058356,0.004172043,-0.004549012,0.020472288,0.010742201,-0.019240461,0.015995512,0.00782889,0.009357523,-0.009804852,0.005989795,0.015973853,0.062549193,0.044978671,0.130036296,-0.11514507,0.033771437,-0.0443204,0.039979867,-0.016583082,0.017575151,0.001490717,0.019063035,-0.013729531,0.025535829,-0.089621641,-0.003654501,-0.023337132
31/07/1992,-0.052845527,0.034560445,-0.095811698,-0.081200869,-0.018326525,-0.088473929,-0.116476696,-0.002783265,0.009437968,0.007269275,-0.013310624,0.047957333,0.01819194,-0.016051709,0.031823546,0.00867411,0.0407599,-0.001209962,0.014452305,-0.010882313,0.044801835,0.016980904,-0.026242615,-0.032359465,0.060007833,-0.139613878,0.019145801,-0.114153268,0.037051844,-0.029028073,0.007820689,0.001459535,-0.039074006,0.008756768,0.00214971,0.023039532
31/08/1992,-0.042739739,-0.023269357,-0.060011689,-0.046627818,-0.041138375,-0.055588924,-0.031031895,0.129288901,-0.01733557,-0.00842184,0.016156224,0.001953035,0.003537411,-0.021894098,0.009525256,0.007061449,0.002976193,-0.038671994,-0.00833533,0.032789792,0.059030187,0.036352695,-0.096340267,-0.061402818,0.042518482,-0.00683374,-0.000680621,-0.020128767,-0.043229091,-0.054700195,-0.064902019,-0.027246365,-0.068601205,0.053019062,-0.012326547,-0.009092698
30/09/1992,0.099432618,0.009730346,-0.04933223,0.020462567,-0.039380605,-0.087407893,-0.061323276,-0.051296764,0.00355393,0.000821152,0.026070008,-0.029365463,0.016657536,0.025054182,0.016096768,0.007488627,0.01277762,-0.004246765,-0.047047951,0.025928573,0.014575909,-0.104531629,-0.019855778,0.02471102,-0.089534455,-0.016129382,0.02079918,-0.000462214,0.01214919,-0.001311582,0.021507566,0.024350897,0.031887017,-0.096215426,0.037071128,0.015230961
30/10/1992,0.026768259,-0.001315671,0.015287769,-0.008633147,-0.036821076,0.052342136,0.222430689,-0.019890849,0.000870531,0.001538624,0.003403765,0.028650891,0.008877291,0.037835534,-0.023448751,-0.009487807,-0.024633267,-0.021119439,0.011753086,-0.027038251,-0.101724833,-0.125460011,-0.007549965,0.206123415,-0.079382206,-0.037874349,0.003251033,0.010478108,-0.02444789,0,-0.033863779,-0.04810004,-0.039166862,0.065804466,-0.078446016,-0.060164886
30/11/1992,0.038319766,0.030989579,0.024756965,0.005688297,0.026808754,0.103359391,-0.002232462,0.035518244,0,-0.002474023,-0.002084847,-0.039427172,0.003159486,-0.023555218,-0.005286356,-0.00459226,0.003639556,-0.017751081,-0.036841943,-0.009801238,-0.040120746,-0.022992537,0.123569032,0.049172673,0.043051268,0.026650887,0.031872423,0.019705071,-0.016901674,-0.008268913,0.025091925,-0.030285539,-0.051064462,-0.127804131,-0.067243485,-0.0438569
31/12/1992,0.004994566,0.014166372,-0.011495179,0.020574035,0.079766334,-0.007918723,0.039622309,-0.01465679,0.004014528,0.002583304,0.009173501,0.013308341,0.009924416,0.032882249,0.020674097,0.008040698,0.026014776,0.014155205,0.017562345,-0.002620842,-0.018784468,-0.001238164,0.013337881,0.061679071,-0.075754331,-0.022832042,0.039337496,0.011887939,-0.007179743,-0.019167995,-0.02332417,-0.042828959,-0.059507217,-0.01250476,-0.004775761,-0.023326756
29/01/1993,-0.014419451,0.001370243,0.012021657,-0.052166645,-0.01685127,0.08241601,0.099268439,-0.004555832,0.003796372,0.004388792,0.00639322,-0.002803695,0.00918702,0.002154178,0.026537467,0.009007075,0.023898467,-0.013188941,0.005741683,0.000874158,-0.011569371,-0.012489565,0.016009794,-0.282983542,-0.024557165,-0.009280809,0.011757321,-0.001437671,-0.009358212,-0.008163507,0.028517325,0.000549448,-0.010958175,0.034197585,-0.025134017,0.029001359
26/02/1993,0.019990837,0.012359025,0.060106545,0.082487854,0.051619372,0.024152677,0.072850163,-0.013450576,0.009803512,0.007362833,0.026960968,0.030587823,0.020369464,0.027590048,0.023351743,0.006592947,0.033823803,0.024336312,0.017654933,0.05406076,-0.024923873,-0.037589457,0.05086116,0.009295046,-0.005327663,-0.016780924,0.042979722,0.009337929,-0.005153722,-0.02359689,-0.047990465,0.019732404,0.024789874,-0.038834522,0.024632243,0.005714008
31/03/1993,-0.000134736,0.018545874,-0.00998076,0.009675508,0.025356167,0.008407702,-0.078890545,0.104375129,0.003433673,0.002224081,-0.001762414,-0.007020857,-0.022687917,0.010329146,0.001053002,0.000512952,-0.000855554,0.015565175,-0.0058105,0.028789026,0.027186644,0.060906308,-0.036835583,-0.101342229,-0.018329354,0.043343729,0.021964572,0.017588393,0.026933122,0.077990637,0.052743443,-0.003206556,0.031542132,0.106920926,-0.038098217,-0.02001863
30/04/1993,-0.028684017,-0.031306804,-0.035112384,-0.066523262,0.004302073,0.003740565,0.124218977,0.127804666,0.004280927,0.003522121,-0.007049303,-0.001880584,-0.006657457,-0.02527264,0.007280906,0.004677687,0.005689916,0.001281091,-0.00761133,0.034552281,0.042048315,0.0410245,-0.008412877,0.058775006,-0.018471335,-0.013881696,0.006861571,-0.011691156,0.051411796,0.119970337,0.070110749,0.009962957,0.064962609,0.021811836,-0.011111253,-0.019511282
31/05/1993,0.009536347,0.025767849,-0.005205953,-0.023383762,0.025629192,0.034747347,0.013214936,-0.008367979,-0.002994642,-0.001299095,-0.006248989,0.009087991,0.001959427,-0.001590528,-0.002514319,-0.006143963,0.002549938,-0.025646173,-0.000127369,0.033505749,0.011696025,-0.004861091,-0.015453,-0.010176358,-0.045909701,-0.035014518,-0.019066942,0.018723243,0.057599717,0.045367392,0.025073888,-0.018873585,-0.031521234,-0.056312667,-0.017705896,-0.040392561
30/06/1993,0.016011896,0.000207264,0.038522461,0.055417481,-0.00184219,0.010261657,0.021607056,-0.028483847,0.00491908,0.003300554,0.014698151,0.017097628,0.014742248,0.043116534,0.025603197,0.006107038,0.04286971,-0.026643086,-0.005100824,0.002896907,-0.064913261,-0.044015963,-0.046052653,-0.067060165,-0.030103216,0.002804556,0.0202939,0.082259793,-0.002896099,-0.014924255,-0.027073484,-0.067862988,-0.049034697,-0.058573295,-0.03815684,-0.081701578
30/07/1993,0.009213346,-0.006674107,0.068469935,0.054294113,0.058015266,0.048538681,0.068709903,0.05088922,0.004687868,0.005657289,0.003436986,0.018073068,0.018511438,0.021023092,-0.000275824,-0.000440076,0.013620478,0.037399919,-0.001157593,0.021376491,-0.004570333,-0.003648359,0.04581737,0.22134914,0.039092926,0.014583592,-0.011235236,0.043824317,0.070293959,0.164655212,0.075338825,-0.060722979,-0.030833752,-0.060269441,-0.049609945,-0.095779878
31/08/1993,0.053888604,0.033473633,0.047924458,0.046160952,0.068068486,0.090829216,0.10539429,0.022060072,0.002335718,0.00300412,0.019460069,0.023452276,0.013766718,0.040217651,0.021289014,0.006143514,0.035912455,-0.023637582,-0.025680862,-0.000418993,0.032006276,0.007551889,-0.075037326,-0.023055065,0.052889464,-0.017736511,-0.000665155,-0.036259984,-0.090531429,-0.110934089,-0.087250147,0.012458868,-0.009505434,0.009304196,0.03728108,0.011676908
